EventName,Description
GetCallerIdentity,Current credentials recon
GetFederationToken,Obtain federated temporary credentials (T1098.001)
GetObject,Read S3 object contents (T1530.A001 / T1552.001)
GetParameter,Retrieves SSM Parameter Store (may include credentials)
GetParameterHistory,Gets historical (often unencrypted) versions
GetRegionOptStatus,Check region opt-in status (T1535 recon)
GetRole,IAM enumeration (T1087.004)
GetSecretValue,Retrieves Secrets Manager values
GetSessionToken,Obtain temporary session credentials (T1098.001)
GetTokensFromRefreshToken,Cognito refresh token abuse (T1098.A006)
GetUser,IAM enumeration (T1087.004)
ImportKeyPair,Import attacker-controlled EC2 key pair (T1098.001)
InviteAccountToOrganization,Invite account to organization (T1666.A001)
Invoke,Executes Lambda (can run attacker code)
InvokeFunction,Executes Lambda (can run attacker code)
InvokeModel,Bedrock model invocation for LLMjacking (T1496.A007)
InvokeModelWithResponseStream,Bedrock streaming invocation for LLMjacking (T1496.A007)
LeaveOrganization,Leave AWS Organization (T1666.A002)
ListAccessKeys,Enumerates keys on IAM users
ListBuckets,S3 recon
ListClusters,EKS cluster enumeration (T1190.A020)
ListGroups,IAM enumeration
ListObjects,Enumerate S3 objects (T1619.A001)
ListParameters,Find credential storage locations
ListRoles,IAM enumeration
ListSecrets,Find credential storage locations
ListUsers,IAM enumeration
ModifyDBInstance,Modify RDS instance for public/creds access (T1485.A001 / T1213.A013)
ModifyInstanceAttribute,Modify instance for persistence/evasion (T1578.003)
ModifySecurityGroupRules,Modify firewall rules (T1562.007)
PassRole,"Pass privileges to services (e.g. Lambda, EC2)"
Publish,SNS publish for SMS pumping (T1496.003)
PutBucketLifecycleConfiguration,Set short lifecycle to auto-delete objects (T1485.001)
PutBucketPolicy,Inject persistent permissions
PutBucketVersioning,Disable S3 versioning before deletion (T1485.A003)
PutEventSelectors,Narrow what gets logged
PutGroupPolicy,Inject inline permissions via group (T1098.003)
PutIntegration,Configure API Gateway integration (AT1667.001)
PutObject,Overwrite/encrypt object for ransom (T1486.A001)
PutRetentionPolicy,Shorten log retention to evade detection (T1562.008)
PutRolePolicy,Add custom roles with privileges
PutUserPolicy,Inject persistent permissions
RegisterDomain,Register domain via Route53 (T1583.001)
RegisterTaskDefinition,Register ECS task for crypto mining (T1496.A006)
RequestServiceQuotaIncrease,Raise quotas for mass resource abuse (T1578.005)
RequestSpotFleet,Launch spot fleet for crypto mining (T1578.002)
ResolveCase,Close AWS support case to hide activity (T1098.A001)
RunInstances,"Spin up EC2 instances (crypto mining, tools)"
SendCommand,Run arbitrary shell commands on EC2
SendEmail,SES email send for spam/phishing infra (T1496.A001)
SendRawEmail,SES raw email send for spam/phishing (T1496.A001)
SendSSHPublicKey,EC2 Instance Connect key push for access (T1098.001)
SetDefaultPolicyVersion,Set malicious policy version as default (T1098.003)
StartInstances,"Spin up EC2 instances (crypto mining, tools)"
StartSession,Interactive shell via SSM
StopInstances,Stop EC2 instances (T1578.003)
StopLogging,Disable or delete CloudTrail logs
TerminateInstances,Destroy EC2 instances (T1578.003 / T1485)
TransferDomainToAnotherAwsAccount,Transfer domain to attacker account (T1583.001)
UpdateAccessKey,Activate/rotate access keys for persistence (T1098.001)
UpdateAssumeRolePolicy,Modify trust relationship (backdoor a role)
UpdateDetector,Suspend GuardDuty findings (T1562.A001)
UpdateLoginProfile,Reset console password for hijacked user (T1098.001)
UpdateTrail,Point logs to attacker-controlled S3
